Chrom.1,,Chrom.1,,Chrom.1,,
UV,,Fraction,,Run Log,,
ml,mAU,ml,Fraction,ml,Logbook,
14.386,0.72,,,,,
14.388,0.72,,,,,
14.39,0.72,,,,,
14.392,0.72,,,,,
14.394,0.72,,,,,
14.395,0.72,,,,,
14.397,0.72,,,,,
14.399,0.72,,,,,
14.401,0.72,,,,,
14.403,0.72,,,,,
14.405,0.72,,,,,
14.406,0.72,,,,,
14.408,0.72,,,,,
14.41,0.7111211,,,,,
14.412,0.71,,,,,
14.414,0.71,,,,,
14.416,0.71,,,,,
14.417,0.71,,,,,
14.419,0.71,,,,,
14.421,0.71,,,,,
14.423,0.71,,,,,
14.425,0.71,,,,,
14.427,0.71,,,,,
14.428,0.71,,,,,
14.43,0.71,,,,,
14.432,0.71,,,,,
14.434,0.71,,,,,
14.436,0.71,,,,,
14.437,0.71,,,,,
14.439,0.71,,,,,
14.441,0.7049327,,,,,
14.443,0.7,,,,,
14.445,0.7,,,,,
14.447,0.7,,,,,
14.448,0.7,,,,,
14.45,0.7,,,,,
14.452,0.7,,,,,
14.454,0.7,,,,,
14.456,0.7,,,,,
14.458,0.7,,,,,
14.459,0.7,,,,,
14.461,0.7,,,,,
14.463,0.7,,,,,
14.465,0.7,,,,,
14.467,0.691573,,,,,
14.469,0.69,,,,,
14.47,0.69,,,,,
14.472,0.6886873,,,,,
14.474,0.68,,,,,
14.476,0.68,,,,,
14.478,0.6756802,,,,,
14.479,0.67,,,,,
14.481,0.67,,,,,
14.483,0.67,,,,,
14.485,0.67,,,,,
14.487,0.67,,,,,
14.489,0.67,,,,,
14.49,0.67,,,,,
14.492,0.67,,,,,
14.494,0.67,,,,,
14.496,0.67,,,,,
14.498,0.6653933,,,,,
14.5,0.6543334,,,,,
14.501,0.65,,,,,
14.503,0.65,,,,,
14.505,0.65,,,,,
14.507,0.65,,,,,
14.509,0.65,,,,,
14.511,0.6515695,,,,,
14.512,0.66,,,,,
14.514,0.66,,,,,
14.516,0.66,,,,,
14.518,0.66,,,,,
14.52,0.66,,,,,
14.521,0.66,,,,,
14.523,0.6520404,,,,,
14.525,0.65,,,,,
14.527,0.65,,,,,
14.529,0.65,,,,,
14.531,0.65,,,,,
14.532,0.65,,,,,
14.534,0.65,,,,,
14.536,0.65,,,,,
14.538,0.65,,,,,
14.54,0.65,,,,,
14.542,0.65,,,,,
14.543,0.65,,,,,
14.545,0.65,,,,,
14.547,0.65,,,,,
14.549,0.65,,,,,
14.551,0.65,,,,,
14.553,0.65,,,,,
14.554,0.65,,,,,
14.556,0.65,,,,,
14.558,0.65,,,,,
14.56,0.65,,,,,
14.562,0.65,,,,,
14.563,0.65,,,,,
14.565,0.65,,,,,
14.567,0.65,,,,,
14.569,0.6480238,,,,,
14.571,0.64,,,,,
14.573,0.64,,,,,
14.574,0.6449524,,,,,
14.576,0.656,,,,,
14.578,0.66,,,,,
14.58,0.66,,,,,
14.582,0.66,,,,,
14.584,0.66,,,,,
14.585,0.66,,,,,
14.587,0.66,,,,,
14.589,0.66,,,,,
14.591,0.66,,,,,
14.593,0.66,,,,,
14.595,0.66,,,,,
14.596,0.66,,,,,
14.598,0.66,,,,,
14.6,0.66,,,,,
14.602,0.66,,,,,
14.604,0.66,,,,,
14.605,0.66287,,,,,
14.607,0.68,,,,,
14.609,0.68,,,,,
14.611,0.68,,,,,
14.613,0.68,,,,,
14.615,0.6739141,,,,,
14.616,0.67,,,,,
14.618,0.67,,,,,
14.62,0.67,,,,,
14.622,0.67,,,,,
14.624,0.67,,,,,
14.626,0.668045,,,,,
14.627,0.66,,,,,
14.629,0.66,,,,,
14.631,0.66,,,,,
14.633,0.66,,,,,
14.635,0.66,,,,,
14.637,0.66,,,,,
14.638,0.66,,,,,
14.64,0.6691031,,,,,
14.642,0.67,,,,,
14.644,0.67,,,,,
14.646,0.67,,,,,
14.647,0.67,,,,,
14.649,0.67,,,,,
14.651,0.6649881,,,,,
14.653,0.66,,,,,
14.655,0.66,,,,,
14.657,0.66,,,,,
14.658,0.66,,,,,
14.66,0.66,,,,,
14.662,0.66,,,,,
14.664,0.66,,,,,
14.666,0.66,,,,,
14.668,0.66,,,,,
14.669,0.66,,,,,
14.671,0.66,,,,,
14.673,0.66,,,,,
14.675,0.66,,,,,
14.677,0.66,,,,,
14.679,0.6788315,,,,,
14.68,0.67,,,,,
14.682,0.67,,,,,
14.684,0.67,,,,,
14.686,0.67,,,,,
14.688,0.67,,,,,
14.689,0.67,,,,,
14.691,0.67,,,,,
14.693,0.67,,,,,
14.695,0.67,,,,,
14.697,0.67,,,,,
14.699,0.6799552,,,,,
14.7,0.68,,,,,
14.702,0.68,,,,,
14.704,0.68,,,,,
14.706,0.68,,,,,
14.708,0.68,,,,,
14.71,0.6855955,,,,,
14.711,0.69,,,,,
14.713,0.69,,,,,
14.715,0.69,,,,,
14.717,0.69,,,,,
14.719,0.69,,,,,
14.721,0.69,,,,,
14.722,0.69,,,,,
14.724,0.69,,,,,
14.726,0.69,,,,,
14.728,0.69,,,,,
14.73,0.6961435,,,,,
14.732,0.7,,,,,
14.733,0.7,,,,,
14.735,0.7,,,,,
14.737,0.7,,,,,
14.739,0.7,,,,,
14.741,0.7,,,,,
14.742,0.7,,,,,
14.744,0.7,,,,,
14.746,0.7,,,,,
14.748,0.7059326,,,,,
14.75,0.7033408,,,,,
14.752,0.7,,,,,
14.753,0.7,,,,,
14.755,0.7094843,,,,,
14.757,0.71,,,,,
14.759,0.71,,,,,
14.761,0.71,,,,,
14.763,0.71,,,,,
14.764,0.71,,,,,
14.766,0.71,,,,,
14.768,0.7164494,,,,,
14.77,0.72,,,,,
14.772,0.72,,,,,
14.774,0.72,,,,,
14.775,0.72,,,,,
14.777,0.72,,,,,
14.779,0.72,,,,,
14.781,0.72,,,,,
14.783,0.72,,,,,
14.784,0.72,,,,,
14.786,0.72,,,,,
14.788,0.72,,,,,
14.79,0.72,,,,,
14.792,0.72,,,,,
14.794,0.7101793,,,,,
14.795,0.71,,,,,
14.797,0.71,,,,,
14.799,0.7126292,,,,,
14.801,0.72,,,,,
14.803,0.72,,,,,
14.805,0.72,,,,,
14.806,0.72,,,,,
14.808,0.72,,,,,
14.81,0.72,,,,,
14.812,0.72,,,,,
14.814,0.72,,,,,
14.816,0.72,,,,,
14.817,0.718043,,,,,
14.819,0.7068161,,,,,
14.821,0.7,,,,,
14.823,0.7,,,,,
14.825,0.7,,,,,
14.826,0.7067416,,,,,
14.828,0.71,,,,,
14.83,0.71,,,,,
14.832,0.71,,,,,
14.834,0.71,,,,,
14.836,0.71,,,,,
14.837,0.71,,,,,
14.839,0.71,,,,,
14.841,0.71,,,,,
14.843,0.71,,,,,
14.845,0.71,,,,,
14.847,0.71,,,,,
14.848,0.71,,,,,
14.85,0.71,,,,,
14.852,0.71,,,,,
14.854,0.71,,,,,
14.856,0.71,,,,,
14.858,0.71,,,,,
14.859,0.7142377,,,,,
14.861,0.72,,,,,
14.863,0.7139047,,,,,
14.865,0.71,,,,,
14.867,0.71,,,,,
14.868,0.71,,,,,
14.87,0.7198877,,,,,
14.872,0.72,,,,,
14.874,0.72,,,,,
14.876,0.72,,,,,
14.878,0.72,,,,,
14.879,0.72,,,,,
14.881,0.72,,,,,
14.883,0.7266667,,,,,
14.885,0.7375955,,,,,
14.887,0.74,,,,,
14.889,0.74,,,,,
14.89,0.74,,,,,
14.892,0.74,,,,,
14.894,0.74,,,,,
14.896,0.74,,,,,
14.898,0.74,,,,,
14.9,0.74,,,,,
14.901,0.74,,,,,
14.903,0.74,,,,,
14.905,0.74,,,,,
14.907,0.74,,,,,
14.909,0.7402242,,,,,
14.91,0.75,,,,,
14.912,0.75,,,,,
14.914,0.75,,,,,
14.916,0.75,,,,,
14.918,0.75,,,,,
14.92,0.75,,,,,
14.921,0.75,,,,,
14.923,0.75,,,,,
14.925,0.75,,,,,
14.927,0.75,,,,,
14.929,0.75,,,,,
14.931,0.75,,,,,
14.932,0.75,,,,,
14.934,0.753565,,,,,
14.936,0.76,,,,,
14.938,0.76,,,,,
14.94,0.76,,,,,
14.942,0.76713,,,,,
14.943,0.77,,,,,
14.945,0.77,,,,,
14.947,0.77,,,,,
14.949,0.77,,,,,
14.951,0.77,,,,,
14.952,0.77,,,,,
14.954,0.77,,,,,
14.956,0.77,,,,,
14.958,0.77,,,,,
14.96,0.77,,,,,
14.962,0.7776681,,,,,
14.963,0.78,,,,,
14.965,0.78,,,,,
14.967,0.77,,,,,
14.969,0.77,,,,,
14.971,0.77,,,,,
14.973,0.7666816,,,,,
14.974,0.76,,,,,
14.976,0.76,,,,,
14.978,0.76,,,,,
14.98,0.76,,,,,
14.982,0.76,,,,,
14.984,0.76,,,,,
14.985,0.76,,,,,
14.987,0.76,,,,,
14.989,0.76,,,,,
14.991,0.76,,,,,
14.993,0.7523319,,,,,
14.994,0.74,,,,,
14.996,0.74,,,,,
14.998,0.74,,,,,
15,0.7478759,,,,,
15.002,0.75,,,,,
15.004,0.75,,,,,
15.005,0.74,,,,,
15.007,0.74,,,,,
15.009,0.74,,,,,
15.011,0.74,,,,,
15.013,0.74,,,,,
15.015,0.74,,,,,
15.016,0.74,,,,,
15.018,0.732809,,,,,
15.02,0.7215714,,,,,
15.022,0.72,,,,,
15.024,0.72,,,,,
15.026,0.7213483,,,,,
15.027,0.73,,,,,
15.029,0.7269928,,,,,
15.031,0.72,,,,,
15.033,0.7249103,,,,,
15.035,0.73,,,,,
15.036,0.73,,,,,
15.038,0.7222697,,,,,
15.04,0.72,,,,,
15.042,0.72,,,,,
15.044,0.72,,,,,
15.046,0.72,,,,,
15.047,0.72,,,,,
15.049,0.7164201,,,,,
15.051,0.71,,,,,
15.053,0.71,,,,,
15.055,0.71,,,,,
15.057,0.7024888,,,,,
15.058,0.6917303,,,,,
15.06,0.69,,,,,
15.062,0.69,,,,,
15.064,0.69,,,,,
15.066,0.69,,,,,
15.068,0.6868386,,,,,
15.069,0.68,,,,,
15.071,0.68,,,,,
15.073,0.68,,,,,
15.075,0.68,,,,,
15.077,0.6880674,,,,,
15.078,0.69,,,,,
15.08,0.69,,,,,
15.082,0.6908745,,,,,
15.084,0.7,,,,,
15.086,0.7,,,,,
15.088,0.6962921,,,,,
15.089,0.69,,,,,
15.091,0.69,,,,,
15.093,0.69,,,,,
15.095,0.6977143,,,,,
15.097,0.7,,,,,
15.099,0.7,,,,,
15.1,0.7006726,,,,,
15.102,0.71,,,,,
15.104,0.71,,,,,
15.106,0.71,,,,,
15.108,0.71,,,,,
15.11,0.71,,,,,
15.111,0.71,,,,,
15.113,0.71,,,,,
15.115,0.71,,,,,
15.117,0.7190692,,,,,
15.119,0.72,,,,,
15.121,0.7206667,,,,,
15.122,0.73,,,,,
15.124,0.73,,,,,
15.126,0.73,,,,,
15.128,0.73,,,,,
15.13,0.73,,,,,
15.131,0.73,,,,,
15.133,0.73,,,,,
15.135,0.7216817,,,,,
15.137,0.72,,,,,
15.139,0.72,,,,,
15.141,0.72,,,,,
15.142,0.72,,,,,
15.144,0.72,,,,,
15.146,0.72,,,,,
15.148,0.7253139,,,,,
15.15,0.73,,,,,
15.152,0.73,,,,,
15.153,0.73,,,,,
15.155,0.73,,,,,
15.157,0.7302018,,,,,
15.159,0.7409438,,,,,
15.161,0.75,,,,,
15.163,0.75,,,,,
15.164,0.75,,,,,
15.166,0.75,,,,,
15.168,0.75,,,,,
15.17,0.75,,,,,
15.172,0.7577804,,,,,
15.173,0.76,,,,,
15.175,0.76,,,,,
15.177,0.76,,,,,
15.179,0.76,,,,,
15.181,0.76,,,,,
15.183,0.76,,,,,
15.184,0.76,,,,,
15.186,0.76,,,,,
15.188,0.76,,,,,
15.19,0.76,,,,,
15.192,0.76,,,,,
15.194,0.76,,,,,
15.195,0.76,,,,,
15.197,0.7587191,,,,,
15.199,0.75,,,,,
15.201,0.75,,,,,
15.203,0.75,,,,,
15.205,0.75,,,,,
15.206,0.75,,,,,
15.208,0.75,,,,,
15.21,0.7576629,,,,,
15.212,0.76,,,,,
15.214,0.76,,,,,
15.215,0.76,,,,,
15.217,0.7617977,,,,,
15.219,0.77,,,,,
15.221,0.77,,,,,
15.223,0.77,,,,,
15.225,0.77,,,,,
15.226,0.77,,,,,
15.228,0.77,,,,,
15.23,0.77,,,,,
15.232,0.7794999,,,,,
15.234,0.78,,,,,
15.236,0.78,,,,,
15.237,0.78,,,,,
15.239,0.78,,,,,
15.241,0.78,,,,,
15.243,0.78,,,,,
15.245,0.78,,,,,
15.247,0.78,,,,,
15.248,0.78,,,,,
15.25,0.7712584,,,,,
15.252,0.78,,,,,
15.254,0.78,,,,,
15.256,0.78,,,,,
15.257,0.78,,,,,
15.259,0.78,,,,,
15.261,0.7843595,,,,,
15.263,0.79,,,,,
15.265,0.79,,,,,
15.267,0.79,,,,,
15.268,0.79,,,,,
15.27,0.79,,,,,
15.272,0.79,,,,,
15.274,0.7913453,,,,,
15.276,0.8,,,,,
15.278,0.8,,,,,
15.279,0.8,,,,,
15.281,0.8049103,,,,,
15.283,0.81,,,,,
15.285,0.81,,,,,
15.287,0.81,,,,,
15.289,0.81,,,,,
15.29,0.8002018,,,,,
15.292,0.8,,,,,
15.294,0.8,,,,,
15.296,0.8,,,,,
15.298,0.8,,,,,
15.299,0.8,,,,,
15.301,0.8054484,,,,,
15.303,0.81,,,,,
15.305,0.81,,,,,
15.307,0.81,,,,,
15.309,0.8004296,,,,,
15.31,0.8,,,,,
15.312,0.8,,,,,
15.314,0.7975785,,,,,
15.316,0.79,,,,,
15.318,0.79,,,,,
15.32,0.79,,,,,
15.321,0.79,,,,,
15.323,0.79,,,,,
15.325,0.79,,,,,
15.327,0.79,,,,,
15.329,0.79,,,,,
15.331,0.7891236,,,,,
15.332,0.7782857,,,,,
15.334,0.77,,,,,
15.336,0.77,,,,,
15.338,0.77,,,,,
15.34,0.77,,,,,
15.341,0.77,,,,,
15.343,0.77,,,,,
15.345,0.7614126,,,,,
15.347,0.7693483,,,,,
15.349,0.77,,,,,
15.351,0.7713932,,,,,
15.352,0.78,,,,,
15.354,0.78,,,,,
15.356,0.78,,,,,
15.358,0.78,,,,,
15.36,0.78,,,,,
15.362,0.78,,,,,
15.363,0.78,,,,,
15.365,0.7708744,,,,,
15.367,0.77,,,,,
15.369,0.77,,,,,
15.371,0.7680493,,,,,
15.373,0.76,,,,,
15.374,0.76,,,,,
15.376,0.76,,,,,
15.378,0.76,,,,,
15.38,0.76,,,,,
15.382,0.76,,,,,
15.383,0.76,,,,,
15.385,0.76,,,,,
15.387,0.76,,,,,
15.389,0.76,,,,,
15.391,0.76,,,,,
15.393,0.76,,,,,
15.394,0.76,,,,,
15.396,0.7652915,,,,,
15.398,0.77,,,,,
15.4,0.77,,,,,
15.402,0.77,,,,,
15.404,0.7605714,,,,,
15.405,0.76,,,,,
15.407,0.76,,,,,
15.409,0.7577303,,,,,
15.411,0.75,,,,,
15.413,0.75,,,,,
15.415,0.75,,,,,
15.416,0.7558296,,,,,
15.418,0.7534157,,,,,
15.42,0.75,,,,,
15.422,0.7586741,,,,,
15.424,0.76,,,,,
15.425,0.76,,,,,
15.427,0.76,,,,,
15.429,0.76,,,,,
15.431,0.76,,,,,
15.433,0.76,,,,,
15.435,0.76,,,,,
15.436,0.76,,,,,
15.438,0.76,,,,,
15.44,0.76,,,,,
15.442,0.769191,,,,,
15.444,0.77,,,,,
15.446,0.77,,,,,
15.447,0.77,,,,,
15.449,0.77,,,,,
15.451,0.77,,,,,
15.453,0.77,,,,,
15.455,0.77,,,,,
15.457,0.77,,,,,
15.458,0.77,,,,,
15.46,0.77,,,,,
15.462,0.77,,,,,
15.464,0.77,,,,,
15.466,0.7718161,,,,,
15.467,0.7774606,,,,,
15.469,0.77,,,,,
15.471,0.77,,,,,
15.473,0.7753811,,,,,
15.475,0.78,,,,,
15.477,0.78,,,,,
15.478,0.78,,,,,
15.48,0.7705012,,,,,
15.482,0.77,,,,,
15.484,0.77,,,,,
15.486,0.77,,,,,
15.488,0.77,,,,,
15.489,0.77,,,,,
15.491,0.77,,,,,
15.493,0.7640807,,,,,
15.495,0.76,,,,,
15.497,0.76,,,,,
15.499,0.76,,,,,
15.5,0.76,,,,,
15.502,0.76,,,,,
15.504,0.76,,,,,
15.506,0.76,,,,,
15.508,0.763618,,,,,
15.509,0.77,,,,,
15.511,0.77,,,,,
15.513,0.763565,,,,,
15.515,0.76,,,,,
15.517,0.76,,,,,
15.519,0.76,,,,,
15.52,0.76,,,,,
15.522,0.76,,,,,
15.524,0.76,,,,,
15.526,0.76,,,,,
15.528,0.76,,,,,
15.53,0.76,,,,,
15.531,0.76,,,,,
15.533,0.76,,,,,
15.535,0.76,,,,,
15.537,0.76,,,,,
15.539,0.76,,,,,
15.541,0.76,,,,,
15.542,0.76,,,,,
15.544,0.76,,,,,
15.546,0.7560449,,,,,
15.548,0.75,,,,,
15.55,0.75,,,,,
15.552,0.75,,,,,
15.553,0.75,,,,,
15.555,0.75,,,,,
15.557,0.75,,,,,
15.559,0.77,,,,,
15.561,0.77,,,,,
15.562,0.77,,,,,
15.564,0.77,,,,,
15.566,0.77,,,,,
15.568,0.77,,,,,
15.57,0.7640225,,,,,
15.572,0.76,,,,,
15.573,0.76,,,,,
15.575,0.76,,,,,
15.577,0.76,,,,,
15.579,0.76,,,,,
15.581,0.76,,,,,
15.583,0.76,,,,,
15.584,0.7636771,,,,,
15.586,0.77,,,,,
15.588,0.77,,,,,
15.59,0.7765169,,,,,
15.592,0.78,,,,,
15.594,0.78,,,,,
15.595,0.78,,,,,
15.597,0.78,,,,,
15.599,0.78,,,,,
15.601,0.78,,,,,
15.603,0.78,,,,,
15.604,0.78,,,,,
15.606,0.78,,,,,
15.608,0.78,,,,,
15.61,0.7729438,,,,,
15.612,0.77,,,,,
15.614,0.77,,,,,
15.615,0.77,,,,,
15.617,0.77,,,,,
15.619,0.77,,,,,
15.621,0.7728401,,,,,
15.623,0.78,,,,,
15.625,0.78,,,,,
15.626,0.78,,,,,
15.628,0.7731685,,,,,
15.63,0.7624215,,,,,
15.632,0.76,,,,,
15.634,0.76,,,,,
15.636,0.76,,,,,
15.637,0.76,,,,,
15.639,0.76,,,,,
15.641,0.76,,,,,
15.643,0.76,,,,,
15.645,0.76,,,,,
15.646,0.7535952,,,,,
15.648,0.75,,,,,
15.65,0.75,,,,,
15.652,0.75,,,,,
15.654,0.76,,,,,
15.656,0.76,,,,,
15.657,0.76,,,,,
15.659,0.76,,,,,
15.661,0.76,,,,,
15.663,0.76,,,,,
15.665,0.76,,,,,
15.667,0.7460476,,,,,
15.668,0.74,,,,,
15.67,0.74,,,,,
15.672,0.74,,,,,
15.674,0.74,,,,,
15.676,0.74,,,,,
15.678,0.74,,,,,
15.679,0.74,,,,,
15.681,0.74,,,,,
15.683,0.74,,,,,
15.685,0.74,,,,,
15.687,0.74,,,,,
15.688,0.74,,,,,
15.69,0.74,,,,,
15.692,0.73,,,,,
15.694,0.73,,,,,
15.696,0.73,,,,,
15.698,0.73,,,,,
15.699,0.73,,,,,
15.701,0.73,,,,,
15.703,0.73,,,,,
15.705,0.73,,,,,
15.707,0.73,,,,,
15.709,0.73,,,,,
15.71,0.73,,,,,
15.712,0.73,,,,,
15.714,0.73,,,,,
15.716,0.73,,,,,
15.718,0.7338877,,,,,
15.72,0.74,,,,,
15.721,0.74,,,,,
15.723,0.74,,,,,
15.725,0.732556,,,,,
15.727,0.73,,,,,
15.729,0.73,,,,,
15.73,0.7302691,,,,,
15.732,0.74,,,,,
15.734,0.74,,,,,
15.736,0.7430717,,,,,
15.738,0.7459427,,,,,
15.74,0.74,,,,,
15.741,0.74,,,,,
15.743,0.74,,,,,
15.745,0.74,,,,,
15.747,0.74,,,,,
15.749,0.740045,,,,,
15.751,0.75,,,,,
15.752,0.75,,,,,
15.754,0.75,,,,,
15.756,0.75,,,,,
15.758,0.75,,,,,
15.76,0.75,,,,,
15.762,0.75,,,,,
15.763,0.75,,,,,
15.765,0.75,,,,,
15.767,0.75,,,,,
15.769,0.7494158,,,,,
15.771,0.74,,,,,
15.772,0.74,,,,,
15.774,0.74,,,,,
15.776,0.74,,,,,
15.778,0.74,,,,,
15.78,0.74,,,,,
15.782,0.74,,,,,
15.783,0.74,,,,,
15.785,0.74,,,,,
15.787,0.74,,,,,
15.789,0.74,,,,,
15.791,0.74,,,,,
15.793,0.74,,,,,
15.794,0.74,,,,,
15.796,0.74,,,,,
15.798,0.74,,,,,
15.8,0.74,,,,,
15.802,0.74,,,,,
15.804,0.74,,,,,
15.805,0.74,,,,,
15.807,0.74,,,,,
15.809,0.74,,,,,
15.811,0.74,,,,,
15.813,0.74,,,,,
15.814,0.74,,,,,
15.816,0.74,,,,,
15.818,0.74,,,,,
15.82,0.74,,,,,
15.822,0.74,,,,,
15.824,0.74,,,,,
15.825,0.74,,,,,
15.827,0.74,,,,,
15.829,0.74,,,,,
15.831,0.74,,,,,
15.833,0.74,,,,,
15.835,0.74,,,,,
15.836,0.74,,,,,
15.838,0.74,,,,,
15.84,0.7321573,,,,,
15.842,0.73,,,,,
15.844,0.73,,,,,
15.846,0.7306502,,,,,
15.847,0.74,,,,,
15.849,0.74,,,,,
15.851,0.74,,,,,
15.853,0.7444762,,,,,
15.855,0.75,,,,,
15.856,0.75,,,,,
15.858,0.75,,,,,
15.86,0.741618,,,,,
15.862,0.74,,,,,
15.864,0.74,,,,,
15.866,0.74,,,,,
15.867,0.74,,,,,
15.869,0.74,,,,,
15.871,0.74,,,,,
15.873,0.74,,,,,
15.875,0.74,,,,,
15.877,0.74,,,,,
15.878,0.74,,,,,
15.88,0.74,,,,,
15.882,0.74,,,,,
15.884,0.74,,,,,
15.886,0.74,,,,,
15.888,0.74,,,,,
15.889,0.74,,,,,
15.891,0.74,,,,,
15.893,0.74,,,,,
15.895,0.74,,,,,
15.897,0.74,,,,,
15.898,0.74,,,,,
15.9,0.74,,,,,
15.902,0.74,,,,,
15.904,0.74,,,,,
15.906,0.74,,,,,
15.908,0.74,,,,,
15.909,0.74,,,,,
15.911,0.74,,,,,
15.913,0.74,,,,,
15.915,0.74,,,,,
15.917,0.74,,,,,
15.919,0.74,,,,,
15.92,0.74,,,,,
15.922,0.7407191,,,,,
15.924,0.7515714,,,,,
15.926,0.76,,,,,
15.928,0.76,,,,,
15.93,0.76,,,,,
15.931,0.76,,,,,
15.933,0.76,,,,,
15.935,0.76,,,,,
15.937,0.7515695,,,,,
15.939,0.75,,,,,
15.941,0.75,,,,,
15.942,0.75,,,,,
15.944,0.75,,,,,
15.946,0.75,,,,,
15.948,0.75,,,,,
15.95,0.7448688,,,,,
15.951,0.74,,,,,
15.953,0.74,,,,,
15.955,0.74,,,,,
15.957,0.74,,,,,
15.959,0.74,,,,,
15.961,0.7389663,,,,,
15.962,0.73,,,,,
15.964,0.73,,,,,
15.966,0.73,,,,,
15.968,0.73,,,,,
15.97,0.73,,,,,
15.972,0.73,,,,,
15.973,0.73,,,,,
15.975,0.73,,,,,
15.977,0.73,,,,,
15.979,0.73,,,,,
15.981,0.73,,,,,
15.983,0.73,,,,,
15.984,0.73,,,,,
15.986,0.73,,,,,
15.988,0.73,,,,,
15.99,0.73,,,,,
15.992,0.73,,,,,
15.993,0.73,,,,,
15.995,0.73,,,,,
15.997,0.73,,,,,
15.999,0.73,,,,,
16.001,0.73,,,,,
16.003,0.73,,,,,
16.004,0.73,,,,,
16.006,0.73,,,,,
16.008,0.73,,,,,
16.01,0.73,,,,,
16.012,0.73,,,,,
16.014,0.7385202,,,,,
16.015,0.74,,,,,
16.017,0.74,,,,,
16.019,0.74,,,,,
16.021,0.7426682,,,,,
16.023,0.75,,,,,
16.025,0.75,,,,,
16.026,0.7445291,,,,,
16.028,0.74,,,,,
16.03,0.74,,,,,
16.032,0.74,,,,,
16.034,0.74,,,,,
16.035,0.74,,,,,
16.037,0.74,,,,,
16.039,0.74,,,,,
16.041,0.74,,,,,
16.043,0.74,,,,,
16.045,0.74,,,,,
16.046,0.74,,,,,
16.048,0.74,,,,,
16.05,0.74,,,,,
16.052,0.74,,,,,
16.054,0.749574,,,,,
16.056,0.75,,,,,
16.057,0.75,,,,,
16.059,0.752382,,,,,
16.061,0.76,,,,,
16.063,0.76,,,,,
16.065,0.76,,,,,
16.067,0.76,,,,,
16.068,0.76,,,,,
16.07,0.76,,,,,
16.072,0.76,,,,,
16.074,0.77,,,,,
16.076,0.7690714,,,,,
16.078,0.76,,,,,
16.079,0.76,,,,,
16.081,0.76,,,,,
16.083,0.76,,,,,
16.085,0.76,,,,,
16.087,0.76,,,,,
16.088,0.76,,,,,
16.09,0.76,,,,,
16.092,0.76,,,,,
16.094,0.76,,,,,
16.096,0.76,,,,,
16.098,0.76,,,,,
16.099,0.76,,,,,
16.101,0.76,,,,,
16.103,0.76,,,,,
16.105,0.76,,,,,
16.107,0.76,,,,,
16.109,0.76,,,,,
16.11,0.76,,,,,
16.112,0.76,,,,,
16.114,0.76,,,,,
16.116,0.76,,,,,
16.118,0.7567416,,,,,
16.12,0.75,,,,,
16.121,0.75,,,,,
16.123,0.75,,,,,
16.125,0.75,,,,,
16.127,0.75,,,,,
16.129,0.7410986,,,,,
16.131,0.7303371,,,,,
16.132,0.73,,,,,
16.134,0.73,,,,,
16.136,0.73,,,,,
16.138,0.73,,,,,
16.14,0.73,,,,,
16.141,0.73,,,,,
16.143,0.73,,,,,
16.145,0.73,,,,,
16.147,0.73,,,,,
16.149,0.73,,,,,
16.151,0.73,,,,,
16.152,0.73,,,,,
16.154,0.73,,,,,
16.156,0.73,,,,,
16.158,0.73,,,,,
16.16,0.73,,,,,
16.162,0.7238187,,,,,
16.163,0.72,,,,,
16.165,0.72,,,,,
16.167,0.72,,,,,
16.169,0.7100224,,,,,
16.171,0.71,,,,,
16.173,0.71,,,,,
16.174,0.71,,,,,
16.176,0.71,,,,,
16.178,0.71,,,,,
16.18,0.7043946,,,,,
16.182,0.7,,,,,
16.183,0.7,,,,,
16.185,0.7,,,,,
16.187,0.7,,,,,
16.189,0.7,,,,,
16.191,0.7,,,,,
16.193,0.7021241,,,,,
16.194,0.71,,,,,
16.196,0.71,,,,,
16.198,0.71,,,,,
16.2,0.71,,,,,
16.202,0.71,,,,,
16.204,0.71,,,,,
16.205,0.71,,,,,
16.207,0.71,,,,,
16.209,0.71,,,,,
16.211,0.71,,,,,
16.213,0.715381,,,,,
16.215,0.73,,,,,
16.216,0.73,,,,,
16.218,0.7243096,,,,,
16.22,0.72,,,,,
16.222,0.72,,,,,
16.224,0.72,,,,,
16.226,0.72,,,,,
16.227,0.72,,,,,
16.229,0.72,,,,,
16.231,0.72,,,,,
16.233,0.72,,,,,
16.235,0.72,,,,,
16.236,0.72,,,,,
16.238,0.7262381,,,,,
16.24,0.73,,,,,
16.242,0.73,,,,,
16.244,0.73,,,,,
16.246,0.73,,,,,
16.247,0.73,,,,,
16.249,0.73,,,,,
16.251,0.73,,,,,
16.253,0.73,,,,,
16.255,0.73,,,,,
16.257,0.73,,,,,
16.258,0.73,,,,,
16.26,0.73,,,,,
16.262,0.73,,,,,
16.264,0.73,,,,,
16.266,0.73,,,,,
16.268,0.73,,,,,
16.269,0.73,,,,,
16.271,0.73,,,,,
16.273,0.73,,,,,
16.275,0.73,,,,,
16.277,0.73,,,,,
16.279,0.73,,,,,
16.28,0.73,,,,,
16.282,0.73,,,,,
16.284,0.73,,,,,
16.286,0.73,,,,,
16.288,0.73,,,,,
16.289,0.73,,,,,
16.291,0.73,,,,,
16.293,0.73,,,,,
16.295,0.73,,,,,
16.297,0.7232512,,,,,
16.299,0.72,,,,,
16.3,0.72,,,,,
16.302,0.7104269,,,,,
16.304,0.71,,,,,
