Chrom.1,,Chrom.1,,Chrom.1,,
UV,,Fraction,,Run Log,,
ml,mAU,ml,Fraction,ml,Logbook,
0.313,0,,,,,
0.314,0,,,,,
0.316,0,,,,,
0.318,0,,,,,
0.32,-0.009685746,,,,,
0.322,-0.01,,,,,
0.324,-0.01,,,,,
0.325,-0.01,,,,,
0.327,-0.006165919,,,,,
0.329,0,,,,,
0.331,0,,,,,
0.333,0,,,,,
0.334,-0.007407407,,,,,
0.336,-0.01,,,,,
0.338,-0.01,,,,,
0.34,-0.01,,,,,
0.342,-0.01,,,,,
0.344,-0.01,,,,,
0.345,-0.01,,,,,
0.347,-0.01,,,,,
0.349,-0.01,,,,,
0.351,-0.01,,,,,
0.353,-0.01,,,,,
0.355,-0.01,,,,,
0.356,-0.01,,,,,
0.358,0,,,,,
0.36,0,,,,,
0.362,0,,,,,
0.364,0,,,,,
0.366,0,,,,,
0.367,0,,,,,
0.369,0,,,,,
0.371,0,,,,,
0.373,0,,,,,
0.375,0,,,,,
0.377,0,,,,,
0.378,0.0005499439,,,,,
0.38,0.01,,,,,
0.382,0.01,,,,,
0.384,0.01,,,,,
0.386,0.01,,,,,
0.387,0.01,,,,,
0.389,0.01,,,,,
0.391,0.01736591,,,,,
0.393,0.02,,,,,
0.395,0.02,,,,,
0.397,0.02,,,,,
0.398,0.02,,,,,
0.4,0.02,,,,,
0.402,0.01683502,,,,,
0.404,0.01,,,,,
0.406,0.01,,,,,
0.408,0.01,,,,,
0.409,0.01,,,,,
0.411,0.01,,,,,
0.413,0.01,,,,,
0.415,0.01,,,,,
0.417,0.01,,,,,
0.419,0.01,,,,,
0.42,0.01,,,,,
0.422,0.01,,,,,
0.424,0.01,,,,,
0.426,0.01,,,,,
0.428,0.01652076,,,,,
0.429,0.02,,,,,
0.431,0.02,,,,,
0.433,0.02,,,,,
0.435,0.02,,,,,
0.437,0.02,,,,,
0.439,0.02,,,,,
0.44,0.02,,,,,
0.442,0.02,,,,,
0.444,0.02,,,,,
